Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
COML:053,"Does the institution proactively manage system EOL (e.g., replacement) to limit security risks?",2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,53,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:054,Are changes formally approved by an individual or committee with appropriate authority and with separation of duties?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,54,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:055,"Can baseline configurations not be altered without a formal change request, documented approval, and an assessment of security implications?",3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,55,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:056,"Does a formal IT change management process require cybersecurity risk to be evaluated during the analysis, approval, testing, and reporting of changes?",3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,56,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:057,Is supply chain risk reviewed before the acquisition of mission-critical information systems including system components?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,57,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:058,"Do automated tools enable tracking, updating, asset prioritizing, and custom reporting of the asset inventory?",4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,58,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:059,Are automated processes in place to detect and block unauthorized changes to software and hardware?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,59,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:060,Does the change management system use thresholds to determine when a risk assessment of the impact of the change is required?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,60,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:061,Does a formal change management function govern decentralized or highly distributed change requests and identify and measure security risks that may cause increased exposure to cyber attack?,5,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,61,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:062,Are comprehensive automated enterprise tools implemented to detect and block unauthorized changes to software and hardware?,5,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,62,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:063,Does an information security and business continuity risk management function(s) exist within the institution?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,63,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:064,"Does the risk management program incorporate cyber risk identification, measurement, mitigation, monitoring, and reporting?",2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,64,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:065,"Does management review and use the results of audits to improve existing cybersecurity policies, procedures, and controls?",2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,65,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
