Constant,Scope,Value,Default Value
SCORING_METRICS$METRIC_DOMAIN_REQUIRED,UI,"'Область оценки' обязательна","Assessment domain is required"
SCORING_METRICS$METRIC_REQUIRED,UI,"'Оценка' обязательна","Assessment is required"
SCORING_METRICS$SCORING_METRIC,UI,"Оценка воздействия на конфиденциальность","Privacy impact assessment"
SCORING_METRICS$TITLE,UI,"Оценки воздействия на конфиденциальность","Privacy impact assessments"
SCORING_QUESTIONS$ALLOW_TEXT_AS_ANSWER,UI,Разрешить текст как ответ,Allow Text As Answer
SCORING_QUESTIONS$ALLOW_UPLOAD_AS_ANSWER,UI,Загрузить ответы,Upload answers
SCORING_QUESTIONS$ALL_VENDORS_AND_SYSTEMS,UI,Все вендоры/системы,All vendors/systems
SCORING_QUESTIONS$ANSWER,UI,Ответ,Answer
SCORING_QUESTIONS$ANSWER_REQUIRED,UI,'Ответ' обязателен,Answer is required
SCORING_QUESTIONS$ANSWERS,UI,Ответы,Answers
SCORING_QUESTIONS$ANSWER_TEXT,UI,Текст ответа,Answer text
