Constant,Scope,Value,Default Value
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$ITEM_DESCRIPTION,SERVER,Residual Cyber Risk Section,Residual Cyber Risk Section
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$ITEM_NAME,SERVER,Summary Scores,Summary Scores
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$DATA_EXFILTRATION_EXPOSURE_HEADER,SERVER,Data Exfiltration Exposure,Data Exfiltration Exposure
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$INHERENT_RISK_HEADER,SERVER,Inherent Risk,Inherent Risk
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$ASSESSMENT_SCORE_HEADER,SERVER,Assessment Score,Assessment Score
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$POST_SECURITY_HEADER,SERVER,Post Security,Post Security
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$RESIDUAL_RISK_SCORE_HEADER,SERVER,Residual Risk Score,Residual Risk Score
DASHBOARDS$PRIVACY$NAME,SERVER,Vendor Privacy Risk,Vendor Privacy Risk
DASHBOARDS$PRIVACY$DESCRIPTION,SERVER,Displays the vendor's privacy risk,Displays the vendor's privacy risk
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$ITEM_NAME,SERVER,Summary Scores,Summary Scores
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$SCORE_HEADER,SERVER,Score,Score
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$IMPACT_WEIGHT_HEADER,SERVER,Impact Weight,Impact Weight
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$IMPACT_TOTAL_HEADER,SERVER,Impact Total,Impact Total
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$LIKELIHOOD_WEIGHT_HEADER,SERVER,Likelihood Weight,Likelihood Weight
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$LIKELIHOOD_TOTAL_HEADER,SERVER,Likelihood Total,Likelihood Total
DASHBOARDS$CLOUD$NAME,SERVER,Cloud Cyber Risk Scores,Cloud Cyber Risk Scores
